,country,JavaScript,SQL,Java,C#,Python,PHP,C++,C,TypeScript,VBA,id,edu_index
133,Cameroon,5.0,5.0,7.0,2.0,1.0,4.0,3.0,4.0,2.0,1.0,CMR,0.493
134,Tanzania,6.0,8.0,5.0,1.0,8.0,8.0,2.0,2.0,2.0,,TZA,0.441
135,Mozambique,6.0,5.0,3.0,4.0,2.0,2.0,1.0,1.0,,,MOZ,0.369
136,Qatar,3.0,4.0,3.0,4.0,2.0,2.0,1.0,3.0,1.0,1.0,QAT,0.698
137,Libya,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,LBY,0.616
138,Reunion (French),2.0,1.0,2.0,1.0,,1.0,1.0,,,1.0,,0.0
139,Vatican City State,,,,,,,,,,,,0.0
140,Oman,3.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,,OMN,0.652
141,Angola,1.0,1.0,,1.0,,1.0,,,,,AGO,0.48200000000000004
142,Montenegro,5.0,5.0,3.0,5.0,3.0,4.0,4.0,2.0,,3.0,MNE,0.797
143,Haiti,1.0,1.0,,,,1.0,,,,,HTI,0.425
144,New Caledonia (French),3.0,3.0,1.0,,2.0,3.0,,,,,,0.0
145,Bahrain,5.0,3.0,3.0,2.0,,3.0,,,,,BHR,0.7170000000000001
146,Bouvet Island,,,,,,,,,,,BVT,0.0
147,Togo,1.0,3.0,4.0,2.0,,2.0,1.0,1.0,,,TGO,0.489
148,Namibia,3.0,4.0,1.0,2.0,,3.0,2.0,1.0,1.0,,NAM,0.546
149,Guyana,1.0,2.0,1.0,1.0,2.0,,,,,,GUY,0.568
150,Lesotho,,,1.0,,,,,,,,LSO,0.503
151,Antarctica,6.0,3.0,1.0,2.0,4.0,1.0,2.0,3.0,,,ATA,0.0
152,Burkina Faso,,,,,,,,,,,BFA,0.262
153,Anguilla,1.0,,,,,,,,1.0,,AIA,0.0
154,Fiji,2.0,2.0,2.0,2.0,1.0,2.0,1.0,,,1.0,FJI,0.777
155,Bhutan,,,,,,,,,,,BTN,0.452
156,Malawi,,1.0,,,1.0,,,,,,MWI,0.445
157,Laos,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,LAO,0.474
158,Gabon,1.0,1.0,,1.0,,1.0,,,,,GAB,0.618
159,Senegal,2.0,2.0,2.0,,1.0,1.0,,,,,SEN,0.355
160,Kyrgyzstan,2.0,2.0,3.0,3.0,1.0,1.0,1.0,,,,KGZ,0.721
161,Tadjikistan,,,,,,,,,1.0,,TJK,0.0
162,Brunei Darussalam,,,1.0,,,,,,,,BRN,0.716
163,Zaire,2.0,2.0,1.0,,1.0,1.0,,,,,,0.0
164,Ivory Coast (Cote D'Ivoire),1.0,,1.0,,,1.0,,,,,CIV,0.415
165,Saint Lucia,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,LCA,0.677
166,Monaco,,,,,,,,,,,MCO,0.0
167,U.S. Minor Outlying Islands,1.0,,1.0,,,,,1.0,,,,0.0
168,Polynesia (French),,,1.0,,,,,,,,PYF,0.0
169,French Guyana,,,,,,,,,,,GUF,0.0
170,Pitcairn Island,,1.0,,,1.0,,,,,1.0,,0.0
171,Seychelles,1.0,1.0,,,,1.0,,,,,SYC,0.706
172,Guinea,1.0,1.0,1.0,1.0,1.0,1.0,,,,,GIN,0.33
173,Aruba,,,,,,,,,,,ABW,0.0
174,Belize,3.0,2.0,3.0,,1.0,2.0,2.0,2.0,,,BLZ,0.7040000000000001
175,Benin,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,,BEN,0.414
176,Swaziland,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,SWZ,0.545
177,Barbados,2.0,2.0,1.0,2.0,,2.0,1.0,1.0,,,BRB,0.773
178,Eritrea,,1.0,1.0,,,,,,,,ERI,0.267
179,Niger,,1.0,1.0,1.0,1.0,,,,,1.0,NER,0.20600000000000002
180,Suriname,1.0,,1.0,1.0,,,,,,,SUR,0.63
181,Guam,1.0,1.0,,1.0,,,,,1.0,,GUM,0.0
182,Antigua and Barbuda,1.0,1.0,,,,2.0,1.0,2.0,1.0,,ATG,0.6940000000000001
